date,close,high,low,open
06/14/16.06.2016__00:00__AM,97.46,98.475,96.75,97.32
06/15/16.06.2016__00:00__AM,97.14,98.41,97.03,97.82
06/16/16.06.2016__00:00__AM,97.55,97.75,96.07,96.45
06/17/16.06.2016__00:00__AM,95.33,96.65,95.3,96.62
06/20/16.06.2016__00:00__AM,95.1,96.57,95.03,96.0
06/21/16.06.2016__00:00__AM,95.91,96.35,94.676,94.94
06/22/16.06.2016__00:00__AM,95.55,96.89,95.35,96.25
06/23/16.06.2016__00:00__AM,96.1,96.29,95.25,95.94
06/24/16.06.2016__00:00__AM,93.4,94.655,92.65,92.91
06/27/16.06.2016__00:00__AM,92.04,93.05,91.5,93.0
06/28/16.06.2016__00:00__AM,93.59,93.66,92.14,92.9
06/29/16.06.2016__00:00__AM,94.4,94.55,93.63,93.97
06/30/16.06.2016__00:00__AM,95.6,95.77,94.3,94.44
07/01/16.07.2016__00:00__AM,95.89,96.465,95.33,95.49
07/05/16.07.2016__00:00__AM,94.99,95.4,94.46,95.39
07/06/16.07.2016__00:00__AM,95.53,95.66,94.37,94.6
07/07/16.07.2016__00:00__AM,95.94,96.5,95.62,95.7
07/08/16.07.2016__00:00__AM,96.68,96.89,96.05,96.49
07/11/16.07.2016__00:00__AM,96.98,97.65,96.73,96.75
07/12/16.07.2016__00:00__AM,97.42,97.7,97.12,97.17
07/13/16.07.2016__00:00__AM,96.87,97.67,96.84,97.41
07/14/16.07.2016__00:00__AM,98.79,98.99,97.32,97.39
07/15/16.07.2016__00:00__AM,98.78,99.3,98.5,98.92
07/18/16.07.2016__00:00__AM,99.83,100.13,98.6,98.7
07/19/16.07.2016__00:00__AM,99.87,100.0,99.34,99.56
07/20/16.07.2016__00:00__AM,99.96,100.46,99.735,100.0
07/21/16.07.2016__00:00__AM,99.43,101.0,99.13,99.83
07/22/16.07.2016__00:00__AM,98.66,99.3,98.31,99.26
07/25/16.07.2016__00:00__AM,97.34,98.84,96.92,98.25
07/26/16.07.2016__00:00__AM,96.67,97.97,96.42,96.82
07/27/16.07.2016__00:00__AM,102.95,104.35,102.75,104.265
07/28/16.07.2016__00:00__AM,104.34,104.45,102.82,102.83
07/29/16.07.2016__00:00__AM,104.21,104.55,103.68,104.19
08/01/16.08.2016__00:00__AM,106.05,106.15,104.41,104.41
08/02/16.08.2016__00:00__AM,104.48,106.07,104.0,106.05
08/03/16.08.2016__00:00__AM,105.79,105.84,104.77,104.81
08/04/16.08.2016__00:00__AM,105.87,106.0,105.28,105.58
08/05/16.08.2016__00:00__AM,107.48,107.65,106.18,106.27
08/08/16.08.2016__00:00__AM,108.37,108.37,107.16,107.52
08/09/16.08.2016__00:00__AM,108.81,108.94,108.01,108.23
08/10/16.08.2016__00:00__AM,108.0,108.9,107.76,108.71
08/11/16.08.2016__00:00__AM,107.93,108.93,107.85,108.52
08/12/16.08.2016__00:00__AM,108.18,108.44,107.78,107.78
08/15/16.08.2016__00:00__AM,109.48,109.54,108.08,108.14
08/16/16.08.2016__00:00__AM,109.38,110.23,109.21,109.63
08/17/16.08.2016__00:00__AM,109.22,109.37,108.34,109.1
08/18/16.08.2016__00:00__AM,109.08,109.6,109.02,109.23
08/19/16.08.2016__00:00__AM,109.36,109.69,108.36,108.77
08/22/16.08.2016__00:00__AM,108.51,109.1,107.85,108.86
08/23/16.08.2016__00:00__AM,108.85,109.32,108.53,108.59
08/24/16.08.2016__00:00__AM,108.03,108.75,107.68,108.565
08/25/16.08.2016__00:00__AM,107.57,107.88,106.68,107.39
08/26/16.08.2016__00:00__AM,106.94,107.95,106.31,107.41
08/29/16.08.2016__00:00__AM,106.82,107.44,106.29,106.62
08/30/16.08.2016__00:00__AM,106.0,106.5,105.5,105.8
08/31/16.08.2016__00:00__AM,106.1,106.5699,105.64,105.66
09/01/16.09.2016__00:00__AM,106.73,106.8,105.62,106.14
09/02/16.09.2016__00:00__AM,107.73,108.0,106.82,107.7
09/06/16.09.2016__00:00__AM,107.7,108.3,107.51,107.9
09/07/16.09.2016__00:00__AM,108.36,108.76,107.07,107.83
09/08/16.09.2016__00:00__AM,105.52,107.27,105.24,107.25
09/09/16.09.2016__00:00__AM,103.13,105.72,103.13,104.64
09/12/16.09.2016__00:00__AM,105.44,105.72,102.53,102.65
09/13/16.09.2016__00:00__AM,107.95,108.79,107.24,107.51
09/14/16.09.2016__00:00__AM,111.77,113.03,108.6,108.73
09/15/16.09.2016__00:00__AM,115.57,115.73,113.49,113.86
09/16/16.09.2016__00:00__AM,114.92,116.13,114.04,115.12
09/19/16.09.2016__00:00__AM,113.58,116.18,113.25,115.19
09/20/16.09.2016__00:00__AM,113.57,114.12,112.51,113.05
09/21/16.09.2016__00:00__AM,113.55,113.989,112.441,113.85
09/22/16.09.2016__00:00__AM,114.62,114.94,114.0,114.35
09/23/16.09.2016__00:00__AM,112.71,114.79,111.55,114.42
09/26/16.09.2016__00:00__AM,112.88,113.39,111.55,111.64
09/27/16.09.2016__00:00__AM,113.09,113.18,112.34,113.0
09/28/16.09.2016__00:00__AM,113.95,114.64,113.43,113.69
09/29/16.09.2016__00:00__AM,112.18,113.8,111.8,113.16
09/30/16.09.2016__00:00__AM,113.05,113.37,111.8,112.46
10/03/16.10.2016__00:00__AM,112.52,113.05,112.28,112.71
10/04/16.10.2016__00:00__AM,113.0,114.31,112.63,113.06
10/05/16.10.2016__00:00__AM,113.05,113.66,112.69,113.4
10/06/16.10.2016__00:00__AM,113.89,114.34,113.13,113.7
10/07/16.10.2016__00:00__AM,114.06,114.56,113.51,114.31
10/10/16.10.2016__00:00__AM,116.05,116.75,114.72,115.02
10/11/16.10.2016__00:00__AM,116.3,118.69,116.2,117.7
10/12/16.10.2016__00:00__AM,117.34,117.98,116.75,117.35
10/13/16.10.2016__00:00__AM,116.98,117.44,115.72,116.79
10/14/16.10.2016__00:00__AM,117.63,118.17,117.13,117.88
10/17/16.10.2016__00:00__AM,117.55,117.84,116.78,117.33
10/18/16.10.2016__00:00__AM,117.47,118.21,117.45,118.18
10/19/16.10.2016__00:00__AM,117.12,117.76,113.8,117.25
10/20/16.10.2016__00:00__AM,117.06,117.38,116.33,116.86
10/21/16.10.2016__00:00__AM,116.6,116.91,116.28,116.81
10/24/16.10.2016__00:00__AM,117.65,117.74,117.0,117.1
10/25/16.10.2016__00:00__AM,118.25,118.36,117.31,117.95
10/26/16.10.2016__00:00__AM,115.59,115.7,113.31,114.31
10/27/16.10.2016__00:00__AM,114.48,115.86,114.1,115.39
